Province,Jan,Feb,Mar,Apr,May
Abra,34.44,30.75,49.17,94.22,280.26
Agusan del Norte,542.04,382.8,336.26,222.97,222.89
Agusan del Sur,498.48,341.45,313.4,235.79,246.56
Aklan,206.68,106.95,80.26,79.2,236.57
Albay,282.53,173.44,158.7,136.82,172.98
Antique,96.49,49.17,43.43,58.27,249.81
Apayao,136.56,75.74,67.94,85.16,174.23
Aurora,148.79,108.27,132.55,142.28,235.38
Basilan,94.23,87.22,79.33,107.11,209.12
Bataan,16.46,10.23,12.47,30.44,208.73
Batanes,215.92,155.42,104.59,85.33,165.85
Batangas,47.17,24.84,24.95,43.83,146.19
Benguet,18.99,17.45,48.7,98.75,230.53
Biliran,229.59,148.25,118.29,113.7,163.82
Bohol,172.9,109.95,91.04,59.13,104.74
Bukidnon,152.88,120.38,130.07,140.08,280.29
Bulacan,27.23,16.13,23.14,45.45,197.77
Cagayan,102.8,58.85,49.86,50.25,129.59
Camarines Norte,245.86,142.26,122.41,115.44,155.62
Camarines Sur,179.92,109.19,97.88,100.1,161.03
Camiguin,289.23,168.44,157.4,89.91,150.65
Capiz,155.72,85.91,76.03,73.64,178.31
Catanduanes,342.71,212.22,186.1,166.98,186.39
Cavite,32.17,15.19,17.9,30.64,155.59
Cebu,142.86,87.79,79.13,60.07,127.41
Compostela Valley,367.16,262.02,227.76,206.28,238.17
Davao del Norte,238.57,175.87,146.46,173.25,231.96
Davao del Sur,132.27,110.59,105.7,131.65,196.79
Davao Oriental,350.08,256.37,216.2,188.82,202.75
Dinagat Islands,596.57,441.81,341.39,243.7,181.05
Eastern Samar,475.67,332.3,243.84,207.14,214.36
Guimaras,55.46,36.69,46.96,76.23,160.4
Ifugao,77.51,72.59,86.29,133.09,239.99
Ilocos Norte,61.48,41.39,35.13,57.24,199.2
Ilocos Sur,13.63,12.9,21.58,42.08,225.77
Iloilo,110.07,64.27,59.93,71.14,177.13
Isabela,87.42,61.78,65.54,83.22,154.52
Kalinga,90.23,63.11,84.83,129.22,247.81
La Union,10.9,9.33,18.89,36.44,202.25
Laguna,69.78,35.77,39.55,52.26,155.14
Lanao del Norte,158.36,119.5,133.78,138.74,248.05
Lanao del Sur,131.94,114.6,133.51,163.34,311.02
Leyte,295.74,203.64,160.14,135.97,162.5
Maguindanao,102.55,105.85,117.28,136.03,233.91
Marinduque,105.07,63.02,54.26,60.88,140.07
Masbate,186.8,109.52,97.21,78.04,126.04
Metropolitan Manila,28.57,13.41,17.21,30.15,154.53
Misamis Occidental,183.14,117.97,117.61,111.04,196.29
Misamis Oriental,191.71,130.05,124.64,94.92,167.3
Mountain Province,71.72,60.12,92.53,149.38,276.8
Negros Occidental,114.23,65.51,66.6,81.82,184.89
Negros Oriental,114.38,62.17,73.93,72.65,162.41
North Cotabato,117.26,107.76,112.6,141.52,256.56
Northern Samar,356.92,249.42,184.99,136.09,168.42
Nueva Ecija,22.87,15.49,30.06,56.53,195.24
Nueva Vizcaya,56.12,55.31,72.41,112.56,200.26
Occidental Mindoro,38.2,31.98,18.76,48.59,191.7
Oriental Mindoro,85.65,56,41.71,68.21,181.41
Palawan,54.35,22.65,26.58,46.95,165.78
Pampanga,16.33,10.42,17.71,43.75,199.2
Pangasinan,12.47,10.53,24.78,57.03,228.7
Quezon,135.51,72.41,66.65,70.41,131.66
Quirino,104.71,92.34,100.32,123.21,196.6
Rizal,44,23.37,31.86,45.69,170.26
Romblon,107.6,53.9,45.67,64.25,172.06
Samar,328.14,225.56,166.98,151.42,183.56
Sarangani,116.26,106.98,98.13,120.49,166.98
Shariff Kabunsuan,113.04,118.02,142.65,169.39,296.08
Siquijor,116.76,73.59,65.41,58.2,98.67
Sorsogon,347.7,206.34,174.31,137.09,153.67
South Cotabato,100.28,95.54,95.73,119.8,188.63
Southern Leyte,397.79,274.69,220.03,152.65,164
Sultan Kudarat,100.82,99.74,110.64,137.2,228.32
Sulu,119.63,100.33,98.43,134,204.39
Surigao del Norte,686.56,519,408.85,278.82,199.65
Surigao del Sur,734.33,543.47,458.65,315.82,257.37
Tarlac,13.61,9.96,23.09,57.39,201.43
Tawi-tawi,175.1,128.52,119.46,123.28,163.39
Zambales,10.94,6.9,14.88,39.34,248.47
Zamboanga del Norte,110.24,80.48,85.91,104.79,204.24
Zamboanga del Sur,104.24,87.45,116.07,153.55,255.87
Zamboanga Sibugay,73.93,71.05,89,124.77,226.96