Province,Jun,Jul,Aug,Sep,Oct
Abra,389.02,499.65,558.96,404.91,279.72
Agusan del Norte,232.4,239.16,213.63,206.3,252.94
Agusan del Sur,252.58,241.2,235.8,242.98,254.98
Aklan,311.61,472.65,374.33,354.08,409.19
Albay,233.68,264.63,256.66,278.16,355.15
Antique,403.77,561.75,530.97,433.66,370.6
Apayao,254.61,290.87,327.21,299.65,391.09
Aurora,240.69,288.61,257.34,316.61,402.28
Basilan,248.23,239.26,251.23,225.34,257.49
Bataan,407.17,645.4,831.67,466.2,232.43
Batanes,208.77,256.26,287.11,329.47,364.09
Batangas,230.11,333.72,322.6,294.09,260.25
Benguet,297.22,292.06,564.58,410.22,240.19
Biliran,209.08,257.26,210,246.81,277.69
Bohol,163.56,197.98,153.91,178.18,207.39
Bukidnon,336.19,326.22,277.85,295.2,273.05
Bulacan,337.14,497,527.22,416.31,252.54
Cagayan,148.89,201.06,218.93,205.83,388.01
Camarines Norte,216.07,244.99,201.6,242.39,425.08
Camarines Sur,254.24,300.35,224.36,268.65,366.05
Camiguin,205.18,240.24,192.4,165.64,252.4
Capiz,275.57,335.45,271.21,272.27,335.75
Catanduanes,252.35,249.7,173.55,256.79,434.43
Cavite,283.03,448.86,464.06,350.5,240.68
Cebu,179.69,200.3,158.47,192.03,221.15
Compostela Valley,207.75,176.05,166.72,169.15,211.25
Davao del Norte,231.58,199.98,200.64,196.24,222.14
Davao del Sur,218.22,185.89,177.72,170.75,186.11
Davao Oriental,219.31,175.25,156.28,155.91,194.2
Dinagat Islands,194.22,188.69,156.41,175.63,263.53
Eastern Samar,221.99,227.01,172.21,223.79,309.86
Guimaras,317.97,379.22,380.36,334.12,306.57
Ifugao,239.35,314.5,359.41,348.74,304.53
Ilocos Norte,315.01,417.53,483.68,351.3,271.66
Ilocos Sur,381.04,542.97,628.91,398.75,199.7
Iloilo,280.81,353.75,306.77,294.62,310.43
Isabela,170.23,200.29,215.45,244.83,387.86
Kalinga,276.25,329.77,372.65,332.89,338.55
La Union,364.04,495.79,592.98,397.11,177.55
Laguna,242.41,313.58,313.6,298.66,287.87
Lanao del Norte,336.6,328.52,323.98,385.71,376.37
Lanao del Sur,366.62,334.85,310.89,333.17,295.99
Leyte,200.06,221.55,192.6,221.37,259.75
Maguindanao,266.05,248.1,253.79,226.43,247.94
Marinduque,211.47,235.21,199.08,206.89,301.58
Masbate,190.73,235.1,209.47,247.98,285.38
Metropolitan Manila,294.84,444.75,502.11,377.51,275.98
Misamis Occidental,300.11,268.01,248.24,293.59,330.57
Misamis Oriental,267.12,275.27,247.67,263.93,281.76
Mountain Province,288.36,360.77,436.47,376.35,321.75
Negros Occidental,285.64,350.59,314.28,301.64,313.65
Negros Oriental,252.68,331.63,293.15,279.05,294.89
North Cotabato,274.7,244.32,230.57,238.18,245.23
Northern Samar,209.35,239.99,193.32,248.01,346.91
Nueva Ecija,237.44,356.27,377.85,314.62,245.17
Nueva Vizcaya,192.45,265.71,333.6,317.53,271.72
Occidental Mindoro,343.85,503.58,454.65,392.32,314.47
Oriental Mindoro,308.48,431.78,356.94,340.58,335.83
Palawan,232.04,298.09,290.87,280.45,238.48
Pampanga,323.14,488.37,562.17,387.11,216.79
Pangasinan,365.16,492.82,661.44,398.32,210.3
Quezon,222.05,254.82,249.07,253.15,322.5
Quirino,185.37,246.91,237.78,295.15,353.16
Rizal,298.73,423.96,437.51,375.68,281.97
Romblon,260.36,359.28,295.87,292.88,349.96
Samar,211.81,251.03,193.88,240.63,308.02
Sarangani,167.01,151.74,140.63,133.13,164.78
Shariff Kabunsuan,319.13,321.41,287.43,291.08,301.85
Siquijor,147.51,142.33,127.56,155.6,225.98
Sorsogon,197.07,240.05,217.78,249.28,358.33
South Cotabato,207.16,193.7,193.54,168.4,190.59
Southern Leyte,197.5,232.34,196.44,218.78,256.93
Sultan Kudarat,259.04,260.22,248.6,222,240.84
Sulu,223.39,166.89,157.54,178.51,221.1
Surigao del Norte,191.44,188,156.86,163.64,254.73
Surigao del Sur,238.58,211.93,188.72,204.74,253.7
Tarlac,291.95,423.01,533.81,366.78,208.67
Tawi-tawi,181.69,143.24,128.83,138.53,176
Zambales,456.71,599.67,879.95,502.46,231.34
Zamboanga del Norte,310.36,292.87,280.95,287.77,299.17
Zamboanga del Sur,343.54,323.5,295.39,306.97,306.41
Zamboanga Sibugay,326.28,322.31,298.46,301.19,298.61